idVenta,idProducto,cantidad,precio,costo,cancelada,idDetalle,creacion,actualizacion,activo
30,CAF003,1,3000,1071.31,False,67,2025-04-17 12:21:42,2025-04-17 12:21:42,True
30,DUL003,1,3200,800.0,False,68,2025-04-17 12:21:42,2025-04-17 12:21:42,True
32,SAL001,1,2500,980.0,False,69,2025-04-17 13:46:52,2025-04-17 13:46:52,True
32,CAF004,1,3500,1071.31,False,70,2025-04-17 13:46:52,2025-04-17 13:46:52,True
33,SAL001,2,5000,1960.0,False,71,2025-04-17 13:50:26,2025-04-17 13:50:26,True
34,DUL009,1,4200,1200.0,False,72,2025-04-17 14:11:49,2025-04-17 14:11:49,True
34,DUL016,1,3200,900.0,False,73,2025-04-17 14:11:49,2025-04-17 14:11:49,True
35,CAF006,1,3000,746.66,False,74,2025-04-17 14:28:03,2025-04-17 14:28:03,True
35,SAL001,1,2500,980.0,False,75,2025-04-17 14:28:03,2025-04-17 14:28:03,True
35,DUL002,1,3500,1000.0,False,76,2025-04-17 14:28:03,2025-04-17 14:28:03,True
35,ADI003,1,500,438.6,False,77,2025-04-17 14:28:03,2025-04-17 14:28:03,True
35,CAF004,1,3500,1071.31,False,78,2025-04-17 14:28:03,2025-04-17 14:28:03,True
36,DUL005,1,2800,1400.0,False,79,2025-04-17 14:42:58,2025-04-17 14:42:58,True
37,DUL018,1,4000,1000.0,False,80,2025-04-17 15:29:57,2025-04-17 15:29:57,True
37,DUL013,1,3800,1500.0,False,81,2025-04-17 15:29:57,2025-04-17 15:29:57,True
37,DUL016,1,3200,900.0,False,82,2025-04-17 15:29:57,2025-04-17 15:29:57,True
38,DUL008,1,4200,1600.0,False,83,2025-04-17 15:58:02,2025-04-17 15:58:02,True
38,DUL004,1,4200,1513.0,False,84,2025-04-17 15:58:02,2025-04-17 15:58:02,True
39,CAF004,1,3500,1071.31,False,85,2025-04-17 16:39:31,2025-04-17 16:39:31,True
39,CAF001,1,3500,1071.31,False,86,2025-04-17 16:39:31,2025-04-17 16:39:31,True
39,DUL016,1,3200,900.0,False,87,2025-04-17 16:39:31,2025-04-17 16:39:31,True
39,CAF009,1,4000,1235.85,False,88,2025-04-17 16:39:31,2025-04-17 16:39:31,True
40,DUL018,1,4000,1000.0,False,89,2025-04-17 16:46:27,2025-04-17 16:46:27,True
40,DUL002,1,3500,1000.0,False,90,2025-04-17 16:46:27,2025-04-17 16:46:27,True
40,DUL004,1,4200,1513.0,False,91,2025-04-17 16:46:27,2025-04-17 16:46:27,True
40,DUL005,1,2800,1400.0,False,92,2025-04-17 16:46:27,2025-04-17 16:46:27,True
40,CAF007,1,4000,1383.05,False,93,2025-04-17 16:46:27,2025-04-17 16:46:27,True
40,CAF004,2,7000,2142.62,False,94,2025-04-17 16:46:27,2025-04-17 16:46:27,True
41,SAL001,1,2500,980.0,False,95,2025-04-17 17:01:08,2025-04-17 17:01:08,True
41,CAF001,1,3500,1071.31,False,96,2025-04-17 17:01:08,2025-04-17 17:01:08,True
41,SAL001,1,2500,980.0,False,97,2025-04-17 17:01:08,2025-04-17 17:01:08,True
41,DUL003,3,9600,2400.0,False,98,2025-04-17 17:01:08,2025-04-17 17:01:08,True
42,PRO001,1,5200,2071.31,False,99,2025-04-17 17:10:13,2025-04-17 17:10:13,True
42,CAF014,1,4000,1237.27,False,100,2025-04-17 17:10:13,2025-04-17 17:10:13,True
43,SAL001,1,2500,980.0,False,101,2025-04-17 17:21:56,2025-04-17 17:21:56,True
43,CAF009,1,4000,1235.85,False,102,2025-04-17 17:21:56,2025-04-17 17:21:56,True
43,PRO001,1,5200,2071.31,False,103,2025-04-17 17:21:56,2025-04-17 17:21:56,True
44,DUL004,1,4200,1513.0,False,104,2025-04-17 17:23:05,2025-04-17 17:23:05,True
44,DUL002,1,3500,1000.0,False,105,2025-04-17 17:23:05,2025-04-17 17:23:05,True
45,DUL004,1,4200,1513.0,False,106,2025-04-17 17:25:48,2025-04-17 17:25:48,True
45,CAF002,1,3500,1071.31,False,107,2025-04-17 17:25:48,2025-04-17 17:25:48,True
45,CAF003,1,3000,1071.31,False,108,2025-04-17 17:25:48,2025-04-17 17:25:48,True
45,SAL001,1,2500,980.0,False,109,2025-04-17 17:25:48,2025-04-17 17:25:48,True
46,DUL002,1,3500,1000.0,False,110,2025-04-17 17:34:38,2025-04-17 17:34:38,True
46,CAF012,1,2500,746.66,False,111,2025-04-17 17:34:38,2025-04-17 17:34:38,True
46,DUL009,1,4200,1200.0,False,112,2025-04-17 17:34:38,2025-04-17 17:34:38,True
47,DUL005,1,2800,1400.0,False,113,2025-04-17 17:36:01,2025-04-17 17:36:01,True
47,DUL011,1,3800,1500.0,False,114,2025-04-17 17:36:01,2025-04-17 17:36:01,True
47,DUL013,1,3800,1500.0,False,115,2025-04-17 17:36:01,2025-04-17 17:36:01,True
47,CAF008,1,3500,1071.31,False,116,2025-04-17 17:36:01,2025-04-17 17:36:01,True
